State / UT Region,Department Code,Service Descriptor,Submission Date,Total Recorded Transactions,Reported Latency (Days)
Karnataka,Revenue,DigiLocker Pull,2025-08-17,2212,13.4
NCT of Delhi,Transport,Caste Certificate,2025-07-21,4923,1.9
Maharashtra,PDS,DigiLocker Pull,2025-09-21,3335,7.6
Maharashtra,Identity,Vehicle Registration (Vahan),2025-09-20,7198,18.4
Delhi,Identity,Vehicle Registration (Vahan),2025-10-04,5910,6.1
Odisha,Transport,Caste Certificate,2025-09-20,5357,3.3
Uttarakhand,Transport,Driving License (Sarathi),2025-08-23,2804,3.5
Puducherry,Transport,Driving License (Sarathi),2025-08-06,3580,4.1
Puducherry,Revenue,DigiLocker Pull,2025-07-22,6063,2.0
Karnataka,PDS,Driving License (Sarathi),2025-08-07,5256,8.7
Puducherry,General Administration,DigiLocker Pull,2025-12-18,4953,0.0
Odisha,Revenue,Driving License (Sarathi),2025-12-20,4975,15.1
Delhi,Revenue,Vehicle Registration (Vahan),2025-07-28,7529,20.6
Odisha,PDS,Caste Certificate,2025-09-22,4791,17.1
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-09-29,6326,3.2
Maharashtra,PDS,DigiLocker Pull,2025-10-27,3987,13.1
Delhi,PDS,Caste Certificate,2025-12-13,6999,15.3
Uttarakhand,Revenue,Driving License (Sarathi),2025-11-21,4294,7.4
Maharashtra,PDS,Vehicle Registration (Vahan),2025-10-10,4579,13.0
Delhi,Revenue,Driving License (Sarathi),2025-12-21,6688,3.1
Maharashtra,Revenue,Driving License (Sarathi),2025-12-23,5530,24.2
Orissa,PDS,Caste Certificate,2025-11-25,4546,21.7
Uttarakhand,Identity,Ration Subsidies,2025-08-30,4857,1.9
Odisha,Transport,Ration Subsidies,2025-07-08,5797,3.8
Puducherry,PDS,Driving License (Sarathi),2025-09-04,6576,3.0
Uttarakhand,Transport,Ration Subsidies,2025-10-27,4418,3.8
Delhi,Revenue,Caste Certificate,2025-08-11,5954,0.6
Odisha,Transport,Vehicle Registration (Vahan),2025-08-16,4703,6.5
Uttarakhand,Identity,Vehicle Registration (Vahan),2025-08-29,5210,3.4
Karnataka,Identity,Caste Certificate,2025-07-15,4001,2.7
Karnataka,Transport,Ration Subsidies,2025-12-23,4449,
Delhi,PDS,Driving License (Sarathi),2025-11-15,5199,11.3
Odisha,General Administration,Driving License (Sarathi),2025-09-11,4391,0.8
Maharashtra,Transport,DigiLocker Pull,2025-12-09,6419,5.8
Odisha,PDS,Driving License (Sarathi),2025-09-24,7053,10.3
Uttarakhand,Identity,Caste Certificate,2025-11-09,3951,15.0
Karnataka,PDS,Vehicle Registration (Vahan),2025-08-19,4618,10.6
Maharashtra,Revenue,DigiLocker Pull,2025-11-19,6557,3.3
Odisha,General Administration,Vehicle Registration (Vahan),2025-12-03,5432,0.8
NCT of Delhi,Revenue,Vehicle Registration (Vahan),2025-12-24,4402,9.6
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-12-31,2962,20.1
Karnataka,Identity,Vehicle Registration (Vahan),2025-07-24,6414,
Karnataka,PDS,Vehicle Registration (Vahan),2025-12-13,6584,6.6
Uttaranchal,Identity,Vehicle Registration (Vahan),2025-09-22,5256,0.9
Maharashtra,Revenue,DigiLocker Pull,2025-10-12,6832,1.2
Odisha,Transport,Vehicle Registration (Vahan),2025-08-08,6591,1.5
Karnataka,General Administration,Vehicle Registration (Vahan),2025-11-06,5796,10.5
Karnataka,Transport,Vehicle Registration (Vahan),2025-11-05,3505,10.6
Maharashtra,Identity,DigiLocker Pull,2025-11-19,5899,10.5
Uttarakhand,General Administration,Driving License (Sarathi),2025-07-07,3912,4.1
Maharashtra,Revenue,DigiLocker Pull,2025-08-01,10161,9.8
Maharashtra,Revenue,Driving License (Sarathi),2025-11-01,2715,10.1
Maharashtra,PDS,Driving License (Sarathi),2025-09-28,4331,1.1
Odisha,Revenue,Vehicle Registration (Vahan),2025-10-21,4738,0.5
Odisha,Identity,DigiLocker Pull,2025-07-07,3088,4.9
Odisha,PDS,Caste Certificate,2025-11-12,2135,1.3
Karnataka,PDS,Caste Certificate,2025-12-22,2796,6.6
NCT of Delhi,Identity,Ration Subsidies,2025-12-30,6921,7.1
Maharashtra,Identity,Ration Subsidies,2025-09-25,3856,9.6
Puducherry,Revenue,DigiLocker Pull,2025-08-28,8524,4.3
Maharashtra,Revenue,Driving License (Sarathi),2025-09-19,6599,3.6
Odisha,General Administration,Ration Subsidies,2025-12-28,3556,5.6
Karnataka,PDS,Ration Subsidies,2025-10-09,7838,17.2
Delhi,Revenue,Caste Certificate,2025-07-07,5931,3.7
Odisha,PDS,Driving License (Sarathi),2025-10-19,4979,14.8
Delhi,PDS,Vehicle Registration (Vahan),2025-08-31,5134,2.5
Delhi,Transport,Caste Certificate,2025-08-22,4604,1.4
Puducherry,General Administration,Driving License (Sarathi),2025-11-27,4482,4.4
Uttarakhand,Transport,Vehicle Registration (Vahan),2025-09-02,7699,0.1
Karnataka,General Administration,Caste Certificate,2025-11-04,5274,0.6
Uttaranchal,Transport,Vehicle Registration (Vahan),2025-09-10,4592,4.6
Uttarakhand,Transport,Vehicle Registration (Vahan),2025-11-03,7426,6.1
Delhi,PDS,DigiLocker Pull,2025-11-08,6237,16.6
Puducherry,PDS,DigiLocker Pull,2025-11-29,6102,0.2
Maharashtra,Transport,Ration Subsidies,2025-08-21,5491,0.9
Uttarakhand,Identity,Ration Subsidies,2025-12-01,4534,1.1
Puducherry,Transport,DigiLocker Pull,2025-08-10,8458,6.4
NCT of Delhi,General Administration,DigiLocker Pull,2025-07-30,4700,0.5
Odisha,Identity,Vehicle Registration (Vahan),2025-10-08,3115,3.1
Delhi,Identity,Caste Certificate,2025-07-19,4088,3.7
Maharashtra,Transport,Driving License (Sarathi),2025-12-22,5910,1.0
Uttarakhand,General Administration,Vehicle Registration (Vahan),2025-08-24,5975,20.3
Uttarakhand,General Administration,Vehicle Registration (Vahan),2025-11-18,6441,5.4
Odisha,Revenue,Ration Subsidies,2025-11-15,5253,12.5
Maharashtra,Transport,Driving License (Sarathi),2025-10-31,3302,0.9
Maharashtra,Revenue,Caste Certificate,2025-12-29,5950,1.1
Delhi,General Administration,Caste Certificate,2025-10-24,4555,3.6
Odisha,Transport,Vehicle Registration (Vahan),2025-10-01,4018,3.0
Maharashtra,PDS,Ration Subsidies,2025-12-17,5893,0.2
Puducherry,PDS,Driving License (Sarathi),2025-12-19,11361,5.5
Maharashtra,Revenue,DigiLocker Pull,2025-12-24,5964,2.4
Maharashtra,Transport,Driving License (Sarathi),2025-09-10,4175,4.6
Karnataka,Identity,Vehicle Registration (Vahan),2025-11-23,4259,14.7
Maharashtra,PDS,Vehicle Registration (Vahan),2025-07-29,7290,1.7
Puducherry,Transport,Driving License (Sarathi),2025-09-08,9453,0.4
Puducherry,PDS,Caste Certificate,2025-09-23,5876,7.2
Delhi,Transport,Ration Subsidies,2025-10-04,6101,0.8
,Identity,Caste Certificate,2025-08-12,7725,6.5
NCT of Delhi,Revenue,DigiLocker Pull,2025-10-02,4991,4.3
,General Administration,DigiLocker Pull,2025-12-24,6463,2.4
Odisha,General Administration,Vehicle Registration (Vahan),2025-08-29,5333,4.6
Karnataka,Transport,Ration Subsidies,2025-12-01,3428,20.8
Maharashtra,Transport,Driving License (Sarathi),2025-07-23,8715,7.5
Odisha,PDS,Caste Certificate,2025-07-18,6112,1.4
Delhi,Transport,Ration Subsidies,2025-11-05,5565,0.3
Puducherry,Transport,Vehicle Registration (Vahan),2025-10-27,9113,14.4
Delhi,General Administration,Vehicle Registration (Vahan),2025-12-07,4803,22.0
Orissa,PDS,Caste Certificate,2025-07-11,6037,6.6
Maharashtra,Identity,Driving License (Sarathi),2025-10-21,3335,1.8
Puducherry,PDS,Driving License (Sarathi),2025-10-19,3808,1.9
Delhi,General Administration,Vehicle Registration (Vahan),2025-08-17,5094,3.4
Karnataka,Revenue,Ration Subsidies,2025-12-22,7662,3.8
Karnataka,Transport,DigiLocker Pull,2025-10-02,4826,4.4
Delhi,PDS,Vehicle Registration (Vahan),2025-10-06,3327,3.3
Karnataka,PDS,Driving License (Sarathi),2025-07-11,6124,1.4
Puducherry,Revenue,Vehicle Registration (Vahan),2025-08-13,5371,4.3
Karnataka,PDS,DigiLocker Pull,2025-07-27,5836,6.3
Karnataka,Transport,Caste Certificate,2025-08-18,3780,0.1
Maharashtra,Transport,Caste Certificate,2025-08-31,2754,2.4
Odisha,Transport,Caste Certificate,2025-07-29,7290,8.0
Uttarakhand,General Administration,Ration Subsidies,2025-10-27,6682,3.9
Maharashtra,Transport,Caste Certificate,2025-10-08,7584,0.2
Delhi,Identity,Ration Subsidies,2025-11-28,6067,2.0
Odisha,General Administration,Ration Subsidies,2025-07-22,3082,0.2
Karnataka,Transport,DigiLocker Pull,2025-07-01,2999,3.4
Karnataka,PDS,Ration Subsidies,2025-08-23,7033,1.8
Odisha,Revenue,Caste Certificate,2025-12-16,5309,4.4
Maharashtra,Identity,Ration Subsidies,2025-12-14,3403,1.0
Delhi,General Administration,Vehicle Registration (Vahan),2025-08-13,3701,0.9
Karnataka,Identity,Caste Certificate,2025-12-20,4006,0.3
Delhi,General Administration,Driving License (Sarathi),2025-10-07,3236,2.6
Karnataka,General Administration,Ration Subsidies,2025-10-16,5778,10.8
Maharashtra,PDS,Ration Subsidies,2025-08-13,3118,1.2
Puducherry,Identity,Caste Certificate,2025-09-05,2985,8.5
Orissa,PDS,Vehicle Registration (Vahan),2025-11-10,3491,3.3
Maharashtra,Transport,Driving License (Sarathi),2025-09-18,5491,7.2
Odisha,PDS,Caste Certificate,2025-12-11,4645,1.1
Puducherry,Revenue,Vehicle Registration (Vahan),2025-10-28,3831,18.7
Uttaranchal,PDS,Ration Subsidies,2025-12-08,7238,15.2
Delhi,Identity,Caste Certificate,2025-12-27,3752,0.7
Karnataka,Identity,Caste Certificate,2025-07-02,4400,0.0
Uttarakhand,PDS,Vehicle Registration (Vahan),2025-10-19,5570,2.5
Maharashtra,Identity,Vehicle Registration (Vahan),2025-08-18,3337,2.2
Maharashtra,Revenue,Caste Certificate,2025-08-05,8999,1.2
Delhi,Transport,Vehicle Registration (Vahan),2025-11-12,4401,0.8
Odisha,Transport,Vehicle Registration (Vahan),2025-11-19,6499,1.7
Puducherry,Identity,DigiLocker Pull,2025-10-10,3692,10.6
Puducherry,Identity,Caste Certificate,2025-09-05,3347,2.2
Karnataka,Transport,Ration Subsidies,2025-10-16,5271,0.8
Maharashtra,Revenue,Ration Subsidies,2025-08-31,2907,0.2
Maharashtra,PDS,Caste Certificate,2025-10-24,4061,0.5
Karnataka,Transport,Driving License (Sarathi),2025-07-22,7194,8.8
Puducherry,Transport,DigiLocker Pull,2025-09-30,3428,6.1
Uttaranchal,Transport,Caste Certificate,2025-08-13,3525,4.7
Uttarakhand,Identity,Vehicle Registration (Vahan),2025-11-07,5967,4.7
Karnataka,Identity,DigiLocker Pull,2025-09-03,2773,25.1
Odisha,General Administration,Ration Subsidies,2025-09-05,4730,14.1
Delhi,Transport,Vehicle Registration (Vahan),2025-12-31,7853,0.4
Puducherry,Identity,DigiLocker Pull,2025-09-22,4011,3.8
Maharashtra,General Administration,DigiLocker Pull,2025-09-07,4281,10.0
Odisha,PDS,Ration Subsidies,2025-08-18,-999,0.2
Odisha,Identity,Caste Certificate,2025-07-11,6070,5.2
Karnataka,Transport,Driving License (Sarathi),2025-07-13,3263,28.1
Odisha,Identity,DigiLocker Pull,2025-07-24,3054,3.0
Delhi,Revenue,Driving License (Sarathi),2025-09-19,9403,9.3
Maharashtra,Revenue,Driving License (Sarathi),2025-12-27,4882,3.7
Karnataka,PDS,Driving License (Sarathi),2025-08-03,4451,0.7
Karnataka,General Administration,Caste Certificate,2025-12-08,4424,4.8
Delhi,PDS,DigiLocker Pull,2025-08-25,3647,2.2
Karnataka,Transport,Vehicle Registration (Vahan),2025-07-28,5880,8.8
Delhi,Revenue,Driving License (Sarathi),2025-11-22,2816,6.5
Maharashtra,Identity,DigiLocker Pull,2025-11-08,4828,13.1
Karnataka,Transport,Ration Subsidies,2025-08-31,3098,2.7
Karnataka,Transport,Driving License (Sarathi),2025-11-12,2542,19.7
Uttarakhand,Identity,Ration Subsidies,2025-09-16,4373,1.6
Karnataka,PDS,DigiLocker Pull,2025-08-09,4575,0.5
Maharashtra,PDS,Driving License (Sarathi),2025-10-16,3829,1.7
Odisha,General Administration,Ration Subsidies,2025-11-24,5231,9.9
Maharashtra,General Administration,Ration Subsidies,2025-10-03,4239,4.5
Delhi,Identity,Ration Subsidies,2025-08-11,4959,6.8
Delhi,General Administration,DigiLocker Pull,2025-10-08,6271,
Puducherry,PDS,Vehicle Registration (Vahan),2025-11-01,2698,3.8
Maharashtra,Transport,Caste Certificate,2025-12-24,6033,2.0
Puducherry,Identity,Ration Subsidies,2025-09-15,6047,3.6
Karnataka,PDS,Vehicle Registration (Vahan),2025-09-28,5379,19.6
Uttarakhand,PDS,DigiLocker Pull,2025-12-17,4492,1.7
Maharashtra,General Administration,Driving License (Sarathi),2025-11-27,8214,4.1
Karnataka,PDS,Caste Certificate,2025-11-06,4451,3.2
Maharashtra,Transport,DigiLocker Pull,2025-09-30,6304,1.2
Delhi,Transport,Driving License (Sarathi),2025-10-25,3664,6.7
Karnataka,Transport,Caste Certificate,2025-09-03,7721,13.7
Delhi,Revenue,DigiLocker Pull,2025-07-28,4505,18.1
Odisha,Revenue,Caste Certificate,2025-07-11,2513,0.8
Karnataka,Transport,Caste Certificate,2025-09-21,4984,1.8
Delhi,Revenue,Ration Subsidies,2025-11-24,4245,13.8
Puducherry,PDS,Driving License (Sarathi),2025-08-28,6639,0.3
Puducherry,Identity,Vehicle Registration (Vahan),2025-12-27,3248,9.7
Puducherry,General Administration,Caste Certificate,2025-12-20,5271,2.0
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-10-10,4380,5.2
Odisha,General Administration,Driving License (Sarathi),2025-12-01,3435,0.4
Puducherry,Revenue,DigiLocker Pull,2025-10-14,6600,18.2
Maharashtra,General Administration,Caste Certificate,2025-10-16,3862,2.0
Puducherry,PDS,Ration Subsidies,2025-07-23,3441,2.3
Puducherry,General Administration,DigiLocker Pull,2025-11-22,1584,6.6
Uttarakhand,Revenue,Vehicle Registration (Vahan),2025-07-21,5902,8.3
Delhi,General Administration,Ration Subsidies,2025-12-29,2543,4.7
Maharashtra,PDS,DigiLocker Pull,2025-12-06,4885,7.2
Uttarakhand,General Administration,Vehicle Registration (Vahan),2025-10-13,-999,2.8
NCT of Delhi,Identity,Driving License (Sarathi),2025-08-01,3975,1.4
Delhi,Revenue,DigiLocker Pull,2025-11-20,4878,5.2
Maharashtra,Revenue,Ration Subsidies,2025-11-18,3604,1.8
Puducherry,PDS,Driving License (Sarathi),2025-11-01,7770,10.7
Karnataka,Revenue,Ration Subsidies,2025-10-25,2952,2.6
Karnataka,Transport,DigiLocker Pull,2025-10-24,1908,0.9
Odisha,Identity,Vehicle Registration (Vahan),2025-08-31,5740,0.2
Karnataka,Revenue,Vehicle Registration (Vahan),2025-10-24,4307,1.5
Puducherry,Identity,Driving License (Sarathi),2025-07-16,5157,10.8
Orissa,Identity,Caste Certificate,2025-10-18,7255,2.4
Maharashtra,PDS,Ration Subsidies,2025-07-21,4773,9.8
Uttaranchal,Transport,Vehicle Registration (Vahan),2025-09-08,5430,3.7
Karnataka,General Administration,Driving License (Sarathi),2025-11-11,3616,1.2
Karnataka,PDS,DigiLocker Pull,2025-07-05,5698,5.1
Karnataka,General Administration,Vehicle Registration (Vahan),2025-09-29,5278,0.1
Maharashtra,PDS,Vehicle Registration (Vahan),2025-12-12,5772,2.7
Delhi,Revenue,Driving License (Sarathi),2025-07-20,4711,3.9
Uttarakhand,PDS,Ration Subsidies,2025-09-11,7443,2.9
Uttarakhand,Identity,Driving License (Sarathi),2025-10-20,5422,0.5
Uttarakhand,Transport,Driving License (Sarathi),2025-11-08,5727,2.7
Puducherry,Revenue,Ration Subsidies,2025-09-24,6115,0.4
Maharashtra,General Administration,DigiLocker Pull,2025-11-29,8593,0.8
Maharashtra,PDS,Ration Subsidies,2025-12-02,2912,1.1
Uttarakhand,PDS,Vehicle Registration (Vahan),2025-11-16,5377,3.3
Karnataka,Revenue,DigiLocker Pull,2025-08-23,5049,4.2
Karnataka,General Administration,DigiLocker Pull,2025-07-23,4230,3.1
Uttarakhand,Identity,DigiLocker Pull,2025-11-14,8398,1.2
Puducherry,General Administration,Caste Certificate,2025-10-14,5079,5.8
Maharashtra,Identity,DigiLocker Pull,2025-11-06,6246,0.6
Maharashtra,Revenue,Ration Subsidies,2025-08-22,4938,19.8
Odisha,Revenue,Caste Certificate,2025-10-25,8417,4.6
Karnataka,Transport,Ration Subsidies,2025-11-19,7940,0.9
Odisha,PDS,DigiLocker Pull,2025-10-13,4075,1.8
Maharashtra,PDS,Ration Subsidies,2025-12-17,3847,1.0
Maharashtra,Transport,Vehicle Registration (Vahan),2025-08-21,5416,2.1
Delhi,PDS,Vehicle Registration (Vahan),2025-08-24,2595,7.6
Karnataka,Identity,Driving License (Sarathi),2025-08-21,3114,1.3
Odisha,PDS,Vehicle Registration (Vahan),2025-09-24,7305,5.3
Odisha,Transport,Driving License (Sarathi),2025-08-12,4143,5.2
Uttarakhand,Revenue,Vehicle Registration (Vahan),2025-09-12,1562,3.4
Maharashtra,PDS,Vehicle Registration (Vahan),2025-09-25,6925,2.6
Orissa,Revenue,Vehicle Registration (Vahan),2025-10-18,7609,2.3
Maharashtra,PDS,Vehicle Registration (Vahan),2025-11-01,4012,4.6
Karnataka,Revenue,Vehicle Registration (Vahan),2025-10-20,3967,0.3
Delhi,PDS,Driving License (Sarathi),2025-10-25,4738,11.4
Karnataka,Identity,Caste Certificate,2025-08-24,4339,0.9
Odisha,General Administration,DigiLocker Pull,2025-09-23,5023,11.8
Odisha,Identity,Vehicle Registration (Vahan),2025-09-11,6419,1.9
Maharashtra,Identity,Caste Certificate,2025-08-10,1837,0.4
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-08-24,2566,15.8
Karnataka,PDS,Driving License (Sarathi),2025-11-01,4156,5.6
Karnataka,Revenue,Driving License (Sarathi),2025-08-21,5251,8.4
Puducherry,PDS,Driving License (Sarathi),2025-09-05,3852,15.8
Maharashtra,Revenue,DigiLocker Pull,2025-11-19,4270,13.7
Karnataka,Transport,Ration Subsidies,2025-10-10,4056,15.6
Uttarakhand,Identity,Ration Subsidies,2025-12-02,6429,2.5
Delhi,PDS,Caste Certificate,2025-10-29,4221,1.4
Maharashtra,General Administration,Ration Subsidies,2025-09-21,5228,5.1
Odisha,Transport,Vehicle Registration (Vahan),2025-10-10,6721,1.5
Odisha,Transport,Caste Certificate,2025-07-28,3258,18.7
Puducherry,General Administration,Ration Subsidies,2025-08-04,5983,3.4
Uttarakhand,Revenue,Ration Subsidies,2025-12-20,4434,0.1
Karnataka,Revenue,Vehicle Registration (Vahan),2025-08-02,4130,5.5
Maharashtra,Revenue,DigiLocker Pull,2025-08-28,8650,7.1
Delhi,Revenue,Caste Certificate,2025-11-18,5889,7.5
Delhi,PDS,Caste Certificate,2025-12-09,2125,4.5
Delhi,Transport,Vehicle Registration (Vahan),2025-07-29,2908,4.2
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-11-09,9117,16.1
Delhi,PDS,Ration Subsidies,2025-08-11,5910,1.3
Karnataka,PDS,Caste Certificate,2025-07-11,3998,4.9
Delhi,General Administration,DigiLocker Pull,2025-07-18,3733,17.5
Puducherry,Transport,Caste Certificate,2025-10-03,4383,5.4
Karnataka,Revenue,Ration Subsidies,2025-09-09,5103,1.0
Maharashtra,PDS,Vehicle Registration (Vahan),2025-07-10,7333,15.1
Karnataka,Revenue,Ration Subsidies,2025-11-03,5492,10.2
Maharashtra,Identity,DigiLocker Pull,2025-12-09,4308,13.2
Delhi,Transport,Ration Subsidies,2025-08-12,2356,28.2
Maharashtra,Revenue,DigiLocker Pull,2025-12-20,3936,5.0
Karnataka,PDS,Driving License (Sarathi),2025-10-27,1697,6.3
Odisha,Transport,Vehicle Registration (Vahan),2025-10-26,5944,5.6
Odisha,Transport,Caste Certificate,2025-08-27,5151,4.1
Odisha,Revenue,Caste Certificate,2025-07-09,3640,4.6
Odisha,Identity,DigiLocker Pull,2025-07-26,6606,6.1
Uttarakhand,Transport,DigiLocker Pull,2025-10-14,4947,2.2
Karnataka,Transport,Driving License (Sarathi),2025-09-22,3195,1.7
Maharashtra,General Administration,Vehicle Registration (Vahan),2025-10-08,6278,3.8
Odisha,PDS,Caste Certificate,2025-07-09,7243,0.3
Maharashtra,Revenue,Vehicle Registration (Vahan),2025-08-18,4967,0.4
Maharashtra,Identity,DigiLocker Pull,2025-07-06,3617,3.9
Delhi,Revenue,Ration Subsidies,2025-09-01,4739,1.8
Maharashtra,General Administration,Caste Certificate,2025-12-16,3837,1.5
Maharashtra,Transport,Driving License (Sarathi),2025-08-12,2993,2.9
Karnataka,Transport,Vehicle Registration (Vahan),2025-08-04,4992,2.2
Karnataka,General Administration,DigiLocker Pull,2025-10-21,3155,7.3
Odisha,Revenue,Vehicle Registration (Vahan),2025-12-29,5276,3.7
Maharashtra,Transport,Driving License (Sarathi),2025-08-24,4543,1.6
Karnataka,Transport,Driving License (Sarathi),2025-07-18,4452,5.5
Maharashtra,Identity,Ration Subsidies,2025-08-24,5270,4.4
Uttarakhand,General Administration,DigiLocker Pull,2025-10-28,4982,4.4
Karnataka,PDS,Vehicle Registration (Vahan),2025-11-07,3016,5.6
Delhi,Transport,Vehicle Registration (Vahan),2025-12-28,5306,
Odisha,Identity,Ration Subsidies,2025-11-06,3371,12.0
,PDS,Caste Certificate,2025-10-27,3976,6.6
Odisha,PDS,Ration Subsidies,2025-09-25,4207,7.9
Karnataka,Transport,Ration Subsidies,2025-10-22,6349,1.5
Puducherry,PDS,Driving License (Sarathi),2025-11-01,5815,0.8
Karnataka,PDS,Driving License (Sarathi),2025-10-06,3030,0.7
Maharashtra,Revenue,Driving License (Sarathi),2025-10-25,10801,0.2
Karnataka,Transport,Vehicle Registration (Vahan),2025-07-03,4247,2.8
Maharashtra,Transport,Driving License (Sarathi),2025-07-18,3096,10.5
Maharashtra,Revenue,DigiLocker Pull,2025-08-25,6365,0.1
Puducherry,General Administration,Driving License (Sarathi),2025-12-08,3485,5.1
Maharashtra,General Administration,Driving License (Sarathi),2025-10-05,6937,2.5
Puducherry,Identity,Ration Subsidies,2025-07-20,4765,26.7
Puducherry,Transport,Driving License (Sarathi),2025-09-28,4453,0.0
Delhi,PDS,Ration Subsidies,2025-12-13,9315,2.9
Odisha,Transport,DigiLocker Pull,2025-07-18,5951,24.6
Odisha,PDS,DigiLocker Pull,2025-11-16,1957,2.8
Odisha,Transport,Caste Certificate,2025-10-26,4230,0.7
Odisha,General Administration,Driving License (Sarathi),2025-08-12,2748,8.0
Karnataka,Identity,Caste Certificate,2025-12-05,5355,7.7
Karnataka,Identity,Driving License (Sarathi),2025-11-07,6248,4.0
NCT of Delhi,PDS,Vehicle Registration (Vahan),2025-10-18,6769,3.2
Uttarakhand,Identity,Caste Certificate,2025-10-29,4907,
Odisha,Transport,Caste Certificate,2025-08-01,2810,6.6
Uttarakhand,General Administration,Driving License (Sarathi),2025-08-04,5482,0.5
Delhi,PDS,Driving License (Sarathi),2025-12-07,3857,14.1
Odisha,PDS,Vehicle Registration (Vahan),2025-09-09,3292,18.7
Karnataka,General Administration,Vehicle Registration (Vahan),2025-08-31,3069,8.7
Karnataka,General Administration,Vehicle Registration (Vahan),2025-11-29,4248,13.8
Uttaranchal,PDS,Caste Certificate,2025-12-08,2863,9.5
Karnataka,Transport,Vehicle Registration (Vahan),2025-09-24,6782,14.1
Uttarakhand,General Administration,Caste Certificate,2025-11-26,5940,4.2
Delhi,PDS,DigiLocker Pull,2025-08-01,5597,16.9
Delhi,General Administration,DigiLocker Pull,2025-12-13,8601,13.7
Karnataka,Transport,DigiLocker Pull,2025-12-20,3980,4.6
Uttarakhand,Identity,DigiLocker Pull,2025-11-21,4741,5.5
Puducherry,Identity,DigiLocker Pull,2025-12-15,6429,10.4
Maharashtra,Revenue,DigiLocker Pull,2025-07-18,3202,0.3
Maharashtra,General Administration,Driving License (Sarathi),2025-10-28,5017,2.1
Uttarakhand,Transport,Caste Certificate,2025-08-18,4585,12.5
Maharashtra,Revenue,Driving License (Sarathi),2025-08-15,4648,4.7
Puducherry,General Administration,Driving License (Sarathi),2025-09-02,3874,9.6
